OBJECTID,point_id,longitude,latitude,fclass,name,depression_score,aesthetic_score,safety_score,vitality_score,start_count,end_count,road_length,ghs_population,log_start,log_end,start_end_count,log_total_count,poi_catering_density,poi_health_density,poi_leisure_density,poi_public_facility_density,poi_shopping_density,poi_tourism_density,poi_transit_density,boringness_score,wealth_score,poi_transit_dist,poi_transit_dist_500,poi_catering_dist,poi_shopping_dist,poi_health_dist,poi_leisure_dist,poi_public_facility_dist,poi_tourism_dist
1,0,13.17752387,55.71513658,path,,0.513399355,0.575592779,0.60384883,0.51956543,13,123,192.028179,45.64443588,2.63905733,4.820281566,136,4.919980926,0,0,0,0,0,0,0,0.538650673,0.676627874,66.02058011,66.02058011,530.6237839,378.9957864,201.0570688,86.17577558,96.65431458,632.2319195
2,1,13.17831336,55.71512723,path,,0.468809241,0.558236986,0.509324078,0.520850204,20,90,219.9563537,35.77552414,3.044522438,4.510859507,110,4.709530201,0,0,0,0,0,0,0,0.519601546,0.675059404,110.2611024,110.2611024,570.7054516,428.1318481,246.7129209,80.69422172,146.1847386,600.9409787
3,2,13.18840988,55.71152306,secondary,Kung Oskars väg,0.339509245,0.387623928,0.412795521,0.433903039,266,414,348.697299,73.38468933,5.587248658,6.02827852,680,6.523562306,1,0,0,0,1,0,0,0.442294804,0.467206925,96.41900499,96.41900499,47.64371594,49.86070577,262.0006541,473.2078514,306.6526834,116.8680449
4,3,13.20039909,55.71495966,secondary,Getingevägen,0.689985637,0.753719255,0.698958278,0.539438222,94,110,488.496923,12.2788763,4.553876892,4.709530201,204,5.323009979,0,0,0,0,0,0,0,0.518584963,0.799800694,61.92058645,61.92058645,168.7516217,236.2092365,88.9782432,300.835243,246.5770431,144.4073232
5,4,13.20111579,55.71515482,secondary,Getingevägen,0.596256442,0.601181615,0.51665476,0.470121644,119,88,394.8651295,9.793260574,4.787491743,4.48863637,207,5.33753808,0,0,0,0,0,0,1,0.451990368,0.726744056,13.53640435,13.53640435,207.7778279,244.0897462,107.7018853,323.5283907,271.5355914,192.9402255
6,5,13.20183031,55.71535251,secondary,Getingevägen,0.58731705,0.640361123,0.654542822,0.531831343,84,39,440.0892039,9.793260574,4.442651256,3.688879454,123,4.820281566,0,0,0,0,0,0,1,0.387387808,0.802457914,39.08747968,39.08747968,210.4771879,261.1830941,142.2207156,352.1546861,302.9895719,224.4925134
7,6,13.20254415,55.71555099,secondary,Getingevägen,0.620417196,0.550350446,0.506124072,0.55273867,52,75,712.3939743,11.39021969,3.970291914,4.33073334,127,4.852030264,0,0,0,0,0,0,1,0.386587333,0.689485047,43.05691493,43.05691493,160.6160917,286.01905,183.9464992,385.2396559,338.9949314,232.8323088
8,7,13.21034009,55.69704002,secondary,Tornavägen,0.581365995,0.731530711,0.658132814,0.227356021,59,9,481.7303135,16.57390213,4.094344562,2.302585093,68,4.234106505,0,0,0,0,0,0,0,0.23611504,0.383129926,292.5256443,292.5256443,352.3387578,597.4657292,258.2542611,274.2891753,317.7516735,395.6690292
9,8,13.21046376,55.69748375,secondary,Tornavägen,0.623906665,0.73984921,0.680740857,0.354821132,92,57,483.865411,16.57390213,4.532599493,4.060443011,149,5.010635294,0,0,0,0,0,0,0,0.269566735,0.523516476,250.6375119,250.6375119,347.5562001,592.1570558,214.2327529,234.4171768,310.7296631,434.514059
10,9,13.21058974,55.69792728,secondary,Tornavägen,0.610917628,0.62714852,0.623934615,0.386553772,139,34,391.9493984,13.06596279,4.941642423,3.555348061,173,5.159055299,0,0,0,0,0,0,0,0.349679582,0.537524574,212.187234,212.187234,327.9346386,591.191957,173.3871376,199.0556918,303.8752732,475.529061
11,10,13.21071509,55.69837087,secondary,Tornavägen,0.626476523,0.72274413,0.722862314,0.337018728,132,27,365.9534939,13.06596279,4.890349128,3.33220451,159,5.075173815,0,0,0,0,0,0,0,0.348070843,0.48475429,179.5536957,179.5536957,303.7790167,594.4058116,138.7063841,171.1934454,293.4526873,518.1047689
12,11,13.21083985,55.6988145,secondary,Tornavägen,0.525550649,0.592417285,0.704185117,0.473602111,172,38,310.7919569,23.58422852,5.153291594,3.663561646,210,5.351858133,0,0,0,0,0,0,0,0.452953797,0.713569365,152.5879313,152.5879313,286.3596907,601.7342091,115.8632818,154.9283268,274.4912322,561.8864687
