id,ORIG_FID,fclass,name,Shape_Length,longitude,latitude
1,2,path, ,121.5638817,13.17752387,55.71513658
2,2,path, ,121.5638817,13.17831336,55.71512723
3,3,secondary,Kung Oskars väg,70.72459014,13.18840988,55.71152306
4,4,secondary,Getingevägen,203.9819753,13.20039909,55.71495966
5,4,secondary,Getingevägen,203.9819753,13.20111579,55.71515482
6,4,secondary,Getingevägen,203.9819753,13.20183031,55.71535251
7,4,secondary,Getingevägen,203.9819753,13.20254415,55.71555099
8,5,secondary,Tornavägen,287.7559024,13.21034009,55.69704002
9,5,secondary,Tornavägen,287.7559024,13.21046376,55.69748375
10,5,secondary,Tornavägen,287.7559024,13.21058974,55.69792728
11,5,secondary,Tornavägen,287.7559024,13.21071509,55.69837087
12,5,secondary,Tornavägen,287.7559024,13.21083985,55.6988145
13,6,tertiary,Klostergårdsvägen,257.3347299,13.18274267,55.6897202
14,6,tertiary,Klostergårdsvägen,257.3347299,13.18344792,55.68992649
15,6,tertiary,Klostergårdsvägen,257.3347299,13.1840947,55.69018766
16,6,tertiary,Klostergårdsvägen,257.3347299,13.18472592,55.69046086
17,6,tertiary,Klostergårdsvägen,257.3347299,13.18537221,55.69072178
18,7,residential,Sölvegatan,290.2666172,13.19847271,55.70719362
19,7,residential,Sölvegatan,290.2666172,13.19888868,55.70757652
20,7,residential,Sölvegatan,290.2666172,13.19930697,55.70795854
21,7,residential,Sölvegatan,290.2666172,13.19972559,55.70834047
22,7,residential,Sölvegatan,290.2666172,13.20013171,55.70872674
23,8,residential,Ideongatan,111.6531276,13.2156238,55.71555268
24,8,residential,Ideongatan,111.6531276,13.2164172,55.71558634
25,9,tertiary,Ideongatan,91.31581613,13.22378632,55.71553911
26,10,tertiary,Telefongatan,281.9848852,13.22890537,55.71826036
27,10,tertiary,Telefongatan,281.9848852,13.22892788,55.71781142
28,10,tertiary,Telefongatan,281.9848852,13.22893401,55.71736224
29,10,tertiary,Telefongatan,281.9848852,13.22893774,55.71691306
30,10,tertiary,Telefongatan,281.9848852,13.2289457,55.71646391
31,13,secondary,Västra Ringen,453.9085514,13.14984025,55.71384141
32,13,secondary,Västra Ringen,453.9085514,13.14996859,55.71428472
33,13,secondary,Västra Ringen,453.9085514,13.15009535,55.71472817
34,13,secondary,Västra Ringen,453.9085514,13.15020151,55.71517335
35,13,secondary,Västra Ringen,453.9085514,13.15030767,55.71561853
36,13,secondary,Västra Ringen,453.9085514,13.15040607,55.71606427
37,13,secondary,Västra Ringen,453.9085514,13.15050437,55.71651002
38,13,secondary,Västra Ringen,453.9085514,13.15060268,55.71695578
39,13,secondary,Västra Ringen,453.9085514,13.15069663,55.71740183
40,14,residential,Paradisgatan,116.0988698,13.19490381,55.70612707
41,14,residential,Paradisgatan,116.0988698,13.19410831,55.70613199
42,15,tertiary,Gyllenkroks allé,209.5169354,13.18863336,55.69661823
43,15,tertiary,Gyllenkroks allé,209.5169354,13.18831777,55.69703055
44,15,tertiary,Gyllenkroks allé,209.5169354,13.18800217,55.69744287
45,15,tertiary,Gyllenkroks allé,209.5169354,13.18775747,55.69786734
46,17,residential,Sandgatan,129.3369419,13.19625644,55.7069626
47,17,residential,Sandgatan,129.3369419,13.19598138,55.70654111
48,18,residential,Tomegapsgatan,249.1020626,13.19938001,55.70571866
